pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,_has_star_rad,_has_rv_row
11 Com b,11 Com,1,2,1,Radial Velocity,2007,Xinglong Station,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,323.21,0.06,-0.05,0.0,1.178,0.0,0.0,0.0,,,,,,,,,4914.89848585,39.09289406,-39.72855088,0.0,15.464,0.123,-0.125,0.0,Msini,0.238,0.007,-0.007,0.0,,,,,,,,,0.0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G8 III,4874.0,,,0.0,13.76,2.85,-2.45,0.0,2.09,0.64,-0.63,0.0,-0.26,0.1,-0.1,0.0,[Fe/H],2.45,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,1.9238,-1.9238,4.72307,0.023,-0.023,2.282,0.346,-0.346,4.44038,0.0038479,-0.0038479,2023-09-19,2023-08,2023-09-19,True,True
11 UMi b,11 UMi,0,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,516.22,3.25,-3.25,0.0,1.54,0.07,-0.07,0.0,,,,,,,,,3337.07,785.01,-785.01,0.0,10.5,2.47,-2.47,0.0,Msini,0.08,0.03,-0.03,0.0,,,,,,,,,0.0,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,K4 III,4340.0,70.0,-70.0,0.0,24.08,1.84,-1.84,0.0,1.8,0.25,-0.25,0.0,0.04,0.04,-0.04,0.0,[Fe/H],1.6,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,1.9765,-1.9765,5.013,0.005,-0.005,1.939,0.27,-0.27,4.56216,0.0039035,-0.0039035,2018-04-25,2009-10,2014-05-14,True,True
14 And b,14 And,0,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,185.84,0.23,-0.23,0.0,0.83,,,0.0,,,,,,,,,1525.5,,,0.0,4.8,,,0.0,Msini,0.0,,,0.0,,,,,,,,,0.0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,K0 III,4813.0,20.0,-20.0,0.0,11.0,1.0,-1.0,0.0,2.2,0.1,-0.2,0.0,-0.24,0.03,-0.03,0.0,[Fe/H],2.63,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.714,-0.714,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262,2014-05-14,2008-12,2014-05-14,True,True
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1773.40002,2.5,-2.5,0.0,2.93,0.08,-0.08,0.0,,,,,,,,,1481.0878,47.6745,-47.6745,0.0,4.66,0.15,-0.15,0.0,Msini,0.37,0.0,0.0,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5338.0,25.0,-25.0,0.0,0.93,0.01,-0.01,0.0,0.9,0.04,-0.04,0.0,0.41,,,0.0,[Fe/H],4.45,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512,2018-09-04,2017-03,2018-09-06,True,True
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,799.45,0.15,-0.15,0.0,1.676,0.025,-0.025,0.0,,,,,,,,,556.83536906,17.16273398,-16.84490557,0.0,1.752,0.054,-0.053,0.0,Msini,0.6832,0.0031,-0.0031,0.0,,,,,,,,,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5711.97,93.25,-93.25,0.0,1.159464,0.027195,-0.027195,0.0,0.982996,0.044563,-0.044563,0.0,0.0739,0.0612,-0.0612,0.0,[Fe/H],4.300386,0.030681,-0.030681,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,0.011,-0.0111,6.215,0.016,-0.016,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029,2021-09-20,2021-07,2021-09-20,True,True
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,Lick Observatory,Published Confirmed,0,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,578.38,2.01,-2.09,0.0,1.45,0.02,-0.02,0.0,,,,,,,,,1373.01871824,47.67426105,-38.13940884,0.0,4.32,0.15,-0.12,0.0,Msini,0.06,0.03,-0.02,0.0,,,,,,,,,0.0,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,K3 III,4157.0,11.0,-10.0,0.0,25.92,0.78,-0.74,0.0,1.22,0.13,-0.14,0.0,-0.01,0.1,-0.1,0.0,[Fe/H],1.7,0.04,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,2.59,-2.59,5.22606,0.023,-0.023,2.094,0.244,-0.244,4.75429,0.005055,-0.005055,2021-10-25,2020-12,2021-10-25,True,True
18 Del b,18 Del,1,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,982.85,1.06,-0.92,0.0,2.476,0.002,-0.002,0.0,,,,,,,,,2926.24614325,50.85254512,-24.47278734,0.0,9.207,0.16,-0.077,0.0,Msini,0.024,0.007,-0.018,0.0,,,,,,,,,0.0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G6 III,4980.0,,,0.0,8.8,0.61,-0.4,0.0,2.1,0.13,-0.09,0.0,-0.06,0.1,-0.1,0.0,[Fe/H],2.87,0.03,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539,2023-09-19,2023-08,2023-09-19,True,True
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,30.33,0.0,-0.01,0.0,0.194,0.0,0.0,0.0,,,,,,,,,280.64248338,11.44182265,-13.6666215,0.0,0.883,0.036,-0.043,0.0,Msini,0.032,0.039,-0.023,0.0,,,,,,,,,0.0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 IV,4816.0,,,0.0,12.19,1.45,-1.28,0.0,1.05,0.27,-0.18,0.0,-0.78,0.1,-0.1,0.0,[Fe/H],2.28,0.09,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,0.63685,-0.63685,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998,2023-09-19,2023-08,2023-09-19,True,True
24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,Lick Observatory,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,,,,,,,,,632.46,82.63,-120.77,0.0,1.99,0.26,-0.38,0.0,Msini,0.09,0.14,-0.06,0.0,,,,,,,,,0.0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,2014-05-14,2011-01,2014-05-14,True,True
24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,Lick Observatory,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,,,,,,,,,273.32,111.24,-69.92,0.0,0.86,0.35,-0.22,0.0,Msini,0.29,0.16,-0.09,0.0,,,,,,,,,0.0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,2014-05-14,2011-01,2014-05-14,True,True
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,Kepler,Published Confirmed,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,406.0,4.0,-4.0,0.0,,,,,,,,,,,,,591.16083702,15.89142035,-15.89142035,0.0,1.86,0.05,-0.05,0.0,Msini,0.33,0.05,-0.05,0.0,,,,,,,,,0.0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564.0,,,0.0,0.203,0.001,-0.001,0.0,0.48,,,0.0,,,,,,5.508,0.012,-0.012,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.029,-0.029,12.1376,0.003687,-0.003687,2022-04-19,2022-04,2022-04-19,True,True
30 Ari B b,30 Ari B,0,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=GUENTHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...507.1659G/abstract target=ref> Guenther et al. 2009 </a>,335.1,2.5,-2.5,0.0,0.995,0.012,-0.012,0.0,,,,,,,,,3140.03,298.75,-298.75,0.0,9.88,0.94,-0.94,0.0,Msini,0.289,0.092,-0.092,0.0,,,,,,,,,0.0,<a refstr=GUENTHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...507.1659G/abstract target=ref> Guenther et al. 2009 </a>,F6 V,6300.0,60.0,-60.0,0.0,1.13,0.03,-0.03,0.0,1.16,0.04,-0.04,0.0,0.245,0.195,-0.195,0.0,[Fe/H],4.5,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,0.1039,-0.1034,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512,2018-04-25,2009-12,2014-05-14,True,True
4 UMa b,4 UMa,0,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,269.3,1.96,-1.96,0.0,0.87,0.04,-0.04,0.0,,,,,,,,,2256.5,508.5,-508.5,0.0,7.1,1.6,-1.6,0.0,Msini,0.432,0.024,-0.024,0.0,,,,,,,,,0.0,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,K1 III,4415.0,70.0,-70.0,0.0,18.11,1.47,-1.47,0.0,1.234,0.15,-0.15,0.0,-0.25,0.04,-0.04,0.0,[Fe/H],1.8,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,1.18605,-1.18605,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288,2014-05-14,2007-09,2014-05-14,True,True
47 UMa b,47 UMa,1,1,3,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,1078.0,2.0,-2.0,0.0,2.1,0.02,-0.02,0.0,,,,,,,,,804.08,22.25,-19.07,0.0,2.53,0.07,-0.06,0.0,Msini,0.032,0.014,-0.014,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872.0,92.94,-113.53,0.0,1.21334,0.038883,-0.058353,0.0,1.06,0.128402,-0.137608,0.0,0.04,0.1,-0.1,0.0,[M/H],4.29541,0.066185,-0.071358,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,2014-05-14,2010-04,2014-05-14,True,True
47 UMa c,47 UMa,1,1,3,Radial Velocity,2001,Lick Observatory,Published Confirmed,0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,2391.0,100.0,-87.0,0.0,3.6,0.1,-0.1,0.0,,,,,,,,,171.621,20.976,-23.201,0.0,0.54,0.066,-0.073,0.0,Msini,0.098,0.047,-0.096,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872.0,92.94,-113.53,0.0,1.21334,0.038883,-0.058353,0.0,1.06,0.128402,-0.137608,0.0,0.04,0.1,-0.1,0.0,[M/H],4.29541,0.066185,-0.071358,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,2014-05-14,2010-04,2014-05-14,True,True
47 UMa d,47 UMa,1,1,3,Radial Velocity,2009,Lick Observatory,Published Confirmed,0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,14002.0,4018.0,-5095.0,0.0,11.6,2.1,-2.9,0.0,,,,,,,,,521.22,92.17,-152.55,0.0,1.64,0.29,-0.48,0.0,Msini,0.16,0.09,-0.16,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872.0,92.94,-113.53,0.0,1.21334,0.038883,-0.058353,0.0,1.06,0.128402,-0.137608,0.0,0.04,0.1,-0.1,0.0,[M/H],4.29541,0.066185,-0.071358,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,2014-05-14,2010-04,2014-05-14,True,True
51 Peg b,51 Peg,1,1,1,Radial Velocity,1995,Haute-Provence Observatory,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,4.230785,3.6e-05,-3.6e-05,0.0,0.0527,0.003,-0.003,0.0,,,,,,,,,150.009,12.395,-12.395,0.0,0.472,0.039,-0.039,0.0,Msini,0.013,0.012,-0.012,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5758.0,101.62,-119.62,0.0,1.17561,0.067361,-0.035328,0.0,1.03,0.166699,-0.085418,0.0,0.18,0.1,-0.1,0.0,[M/H],4.31038,0.081246,-0.062595,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,0.0297,-0.0297,5.45309,0.023,-0.023,3.911,0.021,-0.021,5.28647,0.002768,-0.002768,2014-05-14,2006-07,2014-05-14,True,True
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,14.65171,5.3e-05,-5.2e-05,0.0,0.1162,0.0018,-0.0018,0.0,,,,,,,,,267.29369029,8.26353858,-8.26353858,0.0,0.841,0.026,-0.026,0.0,Msini,0.0048,0.0036,-0.0031,0.0,,,,,,,,,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5317.89,80.51,-80.51,0.0,0.964411,0.020816,-0.020816,0.0,0.974708,0.045056,-0.045056,0.0,0.3833,0.055,-0.055,0.0,[Fe/H],4.458131,0.03166,-0.03166,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2022-05-09,2021-07,2022-05-09,True,True
55 Cnc c,55 Cnc,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=NELSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441..442N/abstract target=ref> Nelson et al. 2014</a>,44.373,0.02,-0.018,0.0,0.23735,0.00024,-0.00024,0.0,,,,,,,,,56.6985,8.74,-2.479,0.0,0.1784,0.0275,-0.0078,0.0,Mass,0.072,0.013,-0.014,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,123.3,-171.85,0.0,0.963515,0.077739,-0.053155,0.0,0.9,0.140042,-0.089993,0.0,0.35,0.1,-0.1,0.0,[M/H],4.42459,0.051537,-0.13565,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2014-06,2014-08-21,True,True
55 Cnc d,55 Cnc,1,2,5,Radial Velocity,2002,Lick Observatory,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,5574.2,93.8,-88.6,0.0,5.957,0.074,-0.071,0.0,,,,,,,,,991.6,30.7,-33.1,0.0,3.12,0.1,-0.1,0.0,Msini,0.13,0.02,-0.02,0.0,,,,,,,,,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.943,0.01,-0.01,0.0,0.905,0.015,-0.015,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11,True,True
55 Cnc e,55 Cnc,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=ENDL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...759...19E/abstract target=ref> Endl et al. 2012 </a>,0.736546,3e-06,-3e-06,0.0,0.01583,0.0002,-0.0002,0.0,2.173,0.097,-0.098,0.0,0.194,0.009,-0.009,0.0,8.37,0.38,-0.38,0.0,0.026,0.001,-0.001,0.0,Mass,0.0,,,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,123.3,-171.85,0.0,0.963515,0.077739,-0.053155,0.0,0.9,0.140042,-0.089993,0.0,0.35,0.1,-0.1,0.0,[M/H],4.42459,0.051537,-0.13565,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2012-11,2014-05-16,True,True
55 Cnc f,55 Cnc,1,2,5,Radial Velocity,2007,Multiple Observatories,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,259.88,0.29,-0.29,0.0,0.7708,0.0043,-0.0044,0.0,,,,,,,,,47.8,2.4,-2.4,0.0,0.1503,0.0076,-0.0076,0.0,Msini,0.08,0.05,-0.04,0.0,,,,,,,,,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.943,0.01,-0.01,0.0,0.905,0.015,-0.015,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11,True,True
