pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,_has_star_rad,_has_rv_row
HD 209458 b,HD 209458,0,1,1,Radial Velocity,1999,W. M. Keck Observatory,Published Confirmed,0,<a refstr=CHARBONNEAU_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...529L..45C/abstract target=ref> Charbonneau et al. 2000</a>,3.525,0.003,-0.003,0.0,0.0467,,,0.0,14.24,0.22,-0.22,0.0,1.27,0.02,-0.02,0.0,200.22,,,0.0,0.63,,,0.0,Mass,,,,,,,,,,,,,0.0,<a refstr=CHARBONNEAU_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...529L..45C/abstract target=ref> Charbonneau et al. 2000</a>,,6000.0,,,0.0,1.1,,,0.0,1.1,,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h03m10.81s,330.7950219,+18d53m03.27s,18.8842419,48.3016,0.124,-0.1234,7.65,0.03,-0.03,6.308,0.026,-0.026,7.50866,0.000406,-0.000406,2018-04-25,2000-01,2014-08-21,True,True
HD 210277 b,HD 210277,0,1,1,Radial Velocity,1998,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,442.943,0.065,-0.063,0.0,1.123,0.014,-0.014,0.0,,,,,,,,,392.83591105,10.17050902,-10.17050902,0.0,1.236,0.032,-0.032,0.0,Msini,0.472,0.0055,-0.0056,0.0,,,,,,,,,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5505.83,76.51,-76.51,0.0,1.114173,0.025286,-0.025286,0.0,0.963925,0.035826,-0.035826,0.0,0.2131,0.0594,-0.0594,0.0,[Fe/H],4.327154,0.026843,-0.026843,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h09m29.95s,332.3748117,-07d33m02.15s,-7.5505962,21.2985,0.022,-0.022,6.54348,0.023,-0.023,4.799,0.02,-0.02,6.34701,0.000537,-0.000537,2021-09-20,2021-07,2021-09-20,True,True
HD 210702 b,HD 210702,0,1,1,Radial Velocity,2007,Lick Observatory,Published Confirmed,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,354.1,0.7,-0.7,0.0,1.148,0.057,-0.057,0.0,,,,,,,,,574.63664,30.82951,-30.82951,0.0,1.808,0.097,-0.097,0.0,Msini,0.028,0.034,-0.034,0.0,,,,,,,,,0.0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4951.0,,,0.0,4.92,,,0.0,1.61,,,0.0,,,,,,3.28,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h11m51.33s,332.9638643,+16d02m25.73s,16.0404806,54.1963,0.2316,-0.2316,5.93022,0.023,-0.023,3.984,0.294,-0.294,5.6807,0.0021344,-0.0021344,2018-12-03,2019-04,2018-12-06,True,True
HD 211403 b,HD 211403,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,Published Confirmed,0,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>,223.8,0.41,-0.41,0.0,0.768,0.013,-0.013,0.0,,,,,,,,,1760.76937478,123.95307873,-120.77479466,0.0,5.54,0.39,-0.38,0.0,Msini,0.084,0.057,-0.044,0.0,3.44,0.5,-0.46,0.0,380.0,13.0,-13.0,0.0,0.0,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>,F7 V,6273.0,44.0,-44.0,0.0,1.206,0.08,-0.08,0.0,1.2,0.06,-0.06,0.0,0.18,0.04,-0.04,0.0,[Fe/H],4.3,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h15m15.80s,333.8158177,+58d16m32.02s,58.2755601,83.0919,0.2375,-0.2361,8.48,0.03,-0.03,7.244,0.017,-0.017,8.34865,0.000247,-0.000247,2021-10-19,2021-09,2021-10-19,True,True
HD 211810 b,HD 211810,1,1,1,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,1558.0,22.0,-22.0,0.0,2.656,0.043,-0.043,0.0,,,,,,,,,212.9461,139.8452,-139.8452,0.0,0.67,0.44,-0.44,0.0,Msini,0.68,0.14,-0.14,0.0,,,,,,,,,0.0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G5,5652.0,,,0.0,1.13,1.13,-1.13,0.0,1.03,0.02,-0.02,0.0,0.17,,,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h18m06.88s,334.5286724,+61d08m05.97s,61.1349912,64.6353,0.131,-0.1304,8.59,0.03,-0.03,6.969,0.023,-0.023,8.417831,0.000263,-0.000263,2018-09-25,2018-11,2018-09-27,True,True
HD 212301 b,HD 212301,1,2,1,Radial Velocity,2005,La Silla Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.24571,0.00028,-0.00028,0.0,0.03,0.0,0.0,0.0,,,,,,,,,162.0933,12.7132,-12.7132,0.0,0.51,0.04,-0.04,0.0,Msini,0.0,,,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6239.0,24.0,-24.0,0.0,1.16,0.02,-0.02,0.0,1.55,0.16,-0.16,0.0,0.18,,,0.0,[Fe/H],4.5,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h27m31.29s,336.8803957,-77d43m05.96s,-77.7183219,54.2304,0.086,-0.0857,7.76,0.03,-0.03,6.466,0.021,-0.021,7.63495,0.000238,-0.000238,2018-09-04,2017-03,2018-09-06,True,True
HD 212771 b,HD 212771,0,1,1,Radial Velocity,2009,W. M. Keck Observatory,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010PASP..122..701J/abstract target=ref> Johnson et al. 2010 </a>,373.3,3.4,-3.4,0.0,1.22,0.03,-0.03,0.0,,,,,,,,,730.978,127.127,-127.127,0.0,2.3,0.4,-0.4,0.0,Msini,0.111,0.06,-0.06,0.0,,,,,,,,,0.0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010PASP..122..701J/abstract target=ref> Johnson et al. 2010 </a>,,5121.0,44.0,-44.0,0.0,5.0,0.1,-0.1,0.0,1.15,0.08,-0.08,0.0,-0.21,0.03,-0.03,0.0,[Fe/H],3.5,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h27m02.98s,336.762413,-17d15m50.78s,-17.2641046,111.155,0.5445,-0.5445,7.6,0.03,-0.03,5.496,0.018,-0.018,7.35208,0.000295,-0.000295,2018-12-03,2010-05,2014-05-14,True,True
HD 213240 b,HD 213240,1,2,1,Radial Velocity,2001,La Silla Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,882.70001,7.6,-7.6,0.0,1.89,0.03,-0.03,0.0,,,,,,,,,1773.4914,98.5273,-98.5273,0.0,5.58,0.31,-0.31,0.0,Msini,0.42,0.01,-0.01,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5979.0,19.0,-19.0,0.0,1.51,0.02,-0.02,0.0,1.57,0.12,-0.12,0.0,0.15,,,0.0,[Fe/H],4.27,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h31m00.15s,337.7506266,-49d26m02.77s,-49.4341037,40.8707,0.0626,-0.0625,6.81,0.03,-0.03,5.354,0.02,-0.02,6.65761,0.000229,-0.000229,2018-09-04,2017-03,2018-09-06,True,True
HD 213472 b,HD 213472,1,1,1,Radial Velocity,2021,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,17000.0,12000.0,-4800.0,0.0,13.0,5.7,-2.6,0.0,,,,,,,,,1112.3994245,349.6112477,-187.51876013,0.0,3.5,1.1,-0.59,0.0,Msini,0.53,0.12,-0.085,0.0,,,,,,,,,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5729.54,99.37,-99.37,0.0,1.433902,0.033486,-0.033486,0.0,1.048132,0.050666,-0.050666,0.0,0.1249,0.0624,-0.0624,0.0,[Fe/H],4.144921,0.031561,-0.031561,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h30m49.68s,337.7069969,+40d43m20.02s,40.7222277,64.4527,0.1509,-0.1501,8.17,0.03,-0.03,6.609,0.02,-0.02,8.01189,0.000224,-0.000224,2021-09-20,2021-07,2021-09-20,True,True
HD 213885 c,HD 213885,1,1,2,Radial Velocity,2019,Multiple Observatories,Published Confirmed,0,<a refstr=ESPINOZA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2982E/abstract target=ref>Espinoza et al. 2020</a>,4.78503,0.00056,-0.00051,0.0,0.056798,0.00044,-0.00032,0.0,,,,,,,,,19.95,1.38,-1.36,0.0,0.06276941,0.00434194,-0.00427902,0.0,Msini,0.0,,,0.0,,,,,1265.4,7.3,-8.4,0.0,0.0,<a refstr=ESPINOZA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2982E/abstract target=ref>Espinoza et al. 2020</a>,G,5978.0,50.0,-50.0,0.0,1.1011,0.008,-0.0075,0.0,1.068,0.02,-0.018,0.0,-0.04,0.03,-0.03,0.0,[Fe/H],4.3827,0.0095,-0.0097,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h35m56.09s,338.9837166,-59d51m53.38s,-59.864829,48.0883,0.0991,-0.0987,7.95,0.03,-0.03,6.419,0.024,-0.024,7.80173,0.000247,-0.000247,2019-12-02,2020-01,2019-12-05,True,True
